"","ncomm","sim_type","i","j"
"1",1,"control",1,1
"2",1,"lockdown, no surge",1,1
"3",1,"lockdown, surge",1,1
"4",1,"control",1,2
"5",1,"lockdown, no surge",1,2
"6",2,"lockdown, surge",1,2
"7",1,"control",1,3
"8",1,"lockdown, no surge",1,3
"9",3,"lockdown, surge",1,3
"10",1,"control",1,4
"11",2,"lockdown, no surge",1,4
"12",3,"lockdown, surge",1,4
"13",1,"control",1,5
"14",2,"lockdown, no surge",1,5
"15",3,"lockdown, surge",1,5
"16",4,"control",1,6
"17",3,"lockdown, no surge",1,6
"18",3,"lockdown, surge",1,6
"19",6,"control",1,7
"20",4,"lockdown, no surge",1,7
"21",4,"lockdown, surge",1,7
"22",10,"control",1,8
"23",7,"lockdown, no surge",1,8
"24",7,"lockdown, surge",1,8
"25",22,"control",1,9
"26",7,"lockdown, no surge",1,9
"27",11,"lockdown, surge",1,9
"28",26,"control",1,10
"29",14,"lockdown, no surge",1,10
"30",14,"lockdown, surge",1,10
"31",37,"control",1,11
"32",22,"lockdown, no surge",1,11
"33",23,"lockdown, surge",1,11
"34",45,"control",1,12
"35",27,"lockdown, no surge",1,12
"36",35,"lockdown, surge",1,12
"37",57,"control",1,13
"38",33,"lockdown, no surge",1,13
"39",50,"lockdown, surge",1,13
"40",62,"control",1,14
"41",41,"lockdown, no surge",1,14
"42",56,"lockdown, surge",1,14
"43",69,"control",1,15
"44",47,"lockdown, no surge",1,15
"45",62,"lockdown, surge",1,15
"46",77,"control",1,16
"47",52,"lockdown, no surge",1,16
"48",65,"lockdown, surge",1,16
"49",80,"control",1,17
"50",58,"lockdown, no surge",1,17
"51",70,"lockdown, surge",1,17
"52",86,"control",1,18
"53",65,"lockdown, no surge",1,18
"54",73,"lockdown, surge",1,18
"55",92,"control",1,19
"56",68,"lockdown, no surge",1,19
"57",77,"lockdown, surge",1,19
"58",94,"control",1,20
"59",72,"lockdown, no surge",1,20
"60",80,"lockdown, surge",1,20
"61",97,"control",1,21
"62",76,"lockdown, no surge",1,21
"63",82,"lockdown, surge",1,21
