"","sim_type","mean_comm","case","day"
"1","Control",1,1,1
"2","Lockdown-No Surge",1,1,1
"3","Lockdown-Travel Surge2",1,1,1
"4","Lockdown-Travel Surge3",1,1,1
"5","Control",1.02,1,2
"6","Lockdown-No Surge",1,1,2
"7","Lockdown-Travel Surge2",1.02,1,2
"8","Lockdown-Travel Surge3",1.02,1,2
"9","Control",1.06,1,3
"10","Lockdown-No Surge",1.04,1,3
"11","Lockdown-Travel Surge2",1.02,1,3
"12","Lockdown-Travel Surge3",1.12,1,3
"13","Control",1.12,1,4
"14","Lockdown-No Surge",1.12,1,4
"15","Lockdown-Travel Surge2",1.18,1,4
"16","Lockdown-Travel Surge3",1.14,1,4
"17","Control",1.22,1,5
"18","Lockdown-No Surge",1.34,1,5
"19","Lockdown-Travel Surge2",1.32,1,5
"20","Lockdown-Travel Surge3",1.3,1,5
"21","Control",1.44,1,6
"22","Lockdown-No Surge",1.58,1,6
"23","Lockdown-Travel Surge2",1.54,1,6
"24","Lockdown-Travel Surge3",1.38,1,6
"25","Control",1.84,1,7
"26","Lockdown-No Surge",1.88,1,7
"27","Lockdown-Travel Surge2",1.82,1,7
"28","Lockdown-Travel Surge3",1.88,1,7
"29","Control",2.28,1,8
"30","Lockdown-No Surge",2.52,1,8
"31","Lockdown-Travel Surge2",2.48,1,8
"32","Lockdown-Travel Surge3",2.44,1,8
"33","Control",3.14,1,9
"34","Lockdown-No Surge",3.04,1,9
"35","Lockdown-Travel Surge2",3.32,1,9
"36","Lockdown-Travel Surge3",3.56,1,9
"37","Control",4.32,1,10
"38","Lockdown-No Surge",4.3,1,10
"39","Lockdown-Travel Surge2",5.08,1,10
"40","Lockdown-Travel Surge3",5.88,1,10
"41","Control",6.04,1,11
"42","Lockdown-No Surge",5.96,1,11
"43","Lockdown-Travel Surge2",7.78,1,11
"44","Lockdown-Travel Surge3",9.56,1,11
"45","Control",8.02,1,12
"46","Lockdown-No Surge",8.16,1,12
"47","Lockdown-Travel Surge2",12.1,1,12
"48","Lockdown-Travel Surge3",14.32,1,12
"49","Control",10.5,1,13
"50","Lockdown-No Surge",10.78,1,13
"51","Lockdown-Travel Surge2",16.1,1,13
"52","Lockdown-Travel Surge3",18.86,1,13
"53","Control",13.82,1,14
"54","Lockdown-No Surge",13.52,1,14
"55","Lockdown-Travel Surge2",19.24,1,14
"56","Lockdown-Travel Surge3",23.02,1,14
"57","Control",17.36,1,15
"58","Lockdown-No Surge",16.3,1,15
"59","Lockdown-Travel Surge2",22.12,1,15
"60","Lockdown-Travel Surge3",26.2,1,15
"61","Control",21.4,1,16
"62","Lockdown-No Surge",19.14,1,16
"63","Lockdown-Travel Surge2",24.6,1,16
"64","Lockdown-Travel Surge3",29.18,1,16
"65","Control",26.3,1,17
"66","Lockdown-No Surge",21.86,1,17
"67","Lockdown-Travel Surge2",27.42,1,17
"68","Lockdown-Travel Surge3",31.9,1,17
"69","Control",31.42,1,18
"70","Lockdown-No Surge",24.84,1,18
"71","Lockdown-Travel Surge2",30.1,1,18
"72","Lockdown-Travel Surge3",34.8,1,18
"73","Control",36.16,1,19
"74","Lockdown-No Surge",27.32,1,19
"75","Lockdown-Travel Surge2",32.84,1,19
"76","Lockdown-Travel Surge3",37,1,19
"77","Control",40.56,1,20
"78","Lockdown-No Surge",29.88,1,20
"79","Lockdown-Travel Surge2",35.16,1,20
"80","Lockdown-Travel Surge3",39.54,1,20
"81","Control",45.82,1,21
"82","Lockdown-No Surge",32.76,1,21
"83","Lockdown-Travel Surge2",37.8,1,21
"84","Lockdown-Travel Surge3",41.64,1,21
"85","Control",49.96,1,22
"86","Lockdown-No Surge",35.66,1,22
"87","Lockdown-Travel Surge2",40.62,1,22
"88","Lockdown-Travel Surge3",44.14,1,22
"89","Control",53.78,1,23
"90","Lockdown-No Surge",38.24,1,23
"91","Lockdown-Travel Surge2",43.42,1,23
"92","Lockdown-Travel Surge3",46.74,1,23
"93","Control",57.58,1,24
"94","Lockdown-No Surge",40.72,1,24
"95","Lockdown-Travel Surge2",45.96,1,24
"96","Lockdown-Travel Surge3",49.26,1,24
"97","Control",60.72,1,25
"98","Lockdown-No Surge",43.74,1,25
"99","Lockdown-Travel Surge2",48.4,1,25
"100","Lockdown-Travel Surge3",51.32,1,25
"101","Control",63.78,1,26
"102","Lockdown-No Surge",45.94,1,26
"103","Lockdown-Travel Surge2",50.52,1,26
"104","Lockdown-Travel Surge3",53.58,1,26
"105","Control",66.4,1,27
"106","Lockdown-No Surge",48.02,1,27
"107","Lockdown-Travel Surge2",52.68,1,27
"108","Lockdown-Travel Surge3",55.62,1,27
"109","Control",69.34,1,28
"110","Lockdown-No Surge",50.44,1,28
"111","Lockdown-Travel Surge2",55.02,1,28
"112","Lockdown-Travel Surge3",57.84,1,28
"113","Control",71.56,1,29
"114","Lockdown-No Surge",52.36,1,29
"115","Lockdown-Travel Surge2",57.36,1,29
"116","Lockdown-Travel Surge3",59.96,1,29
"117","Control",73.72,1,30
"118","Lockdown-No Surge",54.7,1,30
