"","ncomm","sim_type","i","j"
"1",1,"control",1,1
"2",1,"lockdown, no surge",1,1
"3",1,"lockdown, surge",1,1
"4",1,"control",1,2
"5",1,"lockdown, no surge",1,2
"6",1,"lockdown, surge",1,2
"7",1,"control",1,3
"8",1,"lockdown, no surge",1,3
"9",1,"lockdown, surge",1,3
"10",1,"control",1,4
"11",1,"lockdown, no surge",1,4
"12",2,"lockdown, surge",1,4
"13",1,"control",1,5
"14",1,"lockdown, no surge",1,5
"15",2,"lockdown, surge",1,5
"16",4,"control",1,6
"17",2,"lockdown, no surge",1,6
"18",2,"lockdown, surge",1,6
"19",6,"control",1,7
"20",3,"lockdown, no surge",1,7
"21",5,"lockdown, surge",1,7
"22",10,"control",1,8
"23",6,"lockdown, no surge",1,8
"24",10,"lockdown, surge",1,8
"25",22,"control",1,9
"26",8,"lockdown, no surge",1,9
"27",17,"lockdown, surge",1,9
"28",26,"control",1,10
"29",11,"lockdown, no surge",1,10
"30",19,"lockdown, surge",1,10
"31",37,"control",1,11
"32",13,"lockdown, no surge",1,11
"33",26,"lockdown, surge",1,11
"34",45,"control",1,12
"35",21,"lockdown, no surge",1,12
"36",27,"lockdown, surge",1,12
"37",57,"control",1,13
"38",27,"lockdown, no surge",1,13
"39",31,"lockdown, surge",1,13
"40",62,"control",1,14
"41",29,"lockdown, no surge",1,14
"42",35,"lockdown, surge",1,14
"43",69,"control",1,15
"44",36,"lockdown, no surge",1,15
"45",39,"lockdown, surge",1,15
"46",77,"control",1,16
"47",37,"lockdown, no surge",1,16
"48",40,"lockdown, surge",1,16
"49",80,"control",1,17
"50",42,"lockdown, no surge",1,17
"51",45,"lockdown, surge",1,17
"52",86,"control",1,18
"53",47,"lockdown, no surge",1,18
"54",46,"lockdown, surge",1,18
"55",92,"control",1,19
"56",53,"lockdown, no surge",1,19
"57",49,"lockdown, surge",1,19
"58",94,"control",1,20
"59",56,"lockdown, no surge",1,20
"60",58,"lockdown, surge",1,20
"61",97,"control",1,21
"62",64,"lockdown, no surge",1,21
"63",61,"lockdown, surge",1,21
